,Names,Price,Ratings,Features,Reviews,Images,Links
0,"APPLE iPhone 14 Plus (Purple, 128 GB)","₹79,999",4.7,128 GB ROM,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-purple-128-gb/p/itm7a759a472d863?pid=MOBGHWFHYFJWRHAG&lid=LSTMOBGHWFHYFJWRHAGX1JLRZ&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHYFJWRHAG.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
1,"APPLE iPhone 14 Plus (Blue, 128 GB)","₹79,999",4.7,17.02 cm (6.7 inch) Super Retina XDR Display,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-blue-128-gb/p/itmac8385391b02b?pid=MOBGHWFHUYWGB5F2&lid=LSTMOBGHWFHUYWGB5F2RJNHBM&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHUYWGB5F2.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
2,"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹79,999",4.7,12MP + 12MP | 12MP Front Camera,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYR7XYF6W&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
3,"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹77,999",4.7,"A15 Bionic Chip, 6 Core Processor Processor","8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-product-red-128-gb/p/itm185314a3fac59?pid=MOBGHWFH2KZRNRH5&lid=LSTMOBGHWFH2KZRNRH5NEHUFB&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFH2KZRNRH5.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
4,"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)","₹89,999",4.7,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-product-red-256-gb/p/itm10fcca8adbdf9?pid=MOBGHWFHSGETUPHE&lid=LSTMOBGHWFHSGETUPHEACAHMP&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHSGETUPHE.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
5,"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹79,999",4.7,128 GB ROM,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-midnight-128-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH3JX6NWWY&lid=LSTMOBGHWFH3JX6NWWYRH38NG&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFH3JX6NWWY.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
6,"APPLE iPhone 14 Plus (Midnight, 512 GB)","₹1,09,999",4.7,17.02 cm (6.7 inch) Super Retina XDR Display,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-midnight-512-gb/p/itmba1df8d8397fb?pid=MOBGHWFHDH5HTS54&lid=LSTMOBGHWFHDH5HTS54WA7CVP&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHDH5HTS54.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
7,"APPLE iPhone 14 Plus (Starlight, 512 GB)","₹1,09,999",4.7,12MP + 12MP | 12MP Front Camera,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-starlight-512-gb/p/itm3efb0973ffb78?pid=MOBGHWFHGDAWZEUZ&lid=LSTMOBGHWFHGDAWZEUZCRPO3V&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHGDAWZEUZ.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
8,"APPLE iPhone 14 Plus ((PRODUCT)RED, 512 GB)","₹1,09,999",4.7,"A15 Bionic Chip, 6 Core Processor Processor","8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-product-red-512-gb/p/itme3b87c58225bf?pid=MOBGHWFHRJPNHEGV&lid=LSTMOBGHWFHRJPNHEGVAWXHAK&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFHRJPNHEGV.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
9,"APPLE iPhone 14 Plus (Midnight, 256 GB)","₹89,999",4.7,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"8,978 Ratings & 555 Reviews",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-midnight-256-gb/p/itm88d8a3cfa6dc6?pid=MOBGHWFH4EZCPYYY&lid=LSTMOBGHWFH4EZCPYYYMIEPZZ&marketplace=FLIPKART&q=iphone+14+plus&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_9_na_na_ps&fm=organic&iid=b22869ce-f372-4a4c-ad38-c9c86929bae1.MOBGHWFH4EZCPYYY.SEARCH&ppt=None&ppn=None&ssid=1hdzuqdh0w0000001682517104744&qH=70897fd4f67467a5
